Episode,AI_Won,Total_Reward,Epsilon
223,1,2176.58,0.00500081
224,1,2340.55,0.00500081
225,0,-3084.62,0.00500081
226,0,832.757,0.00500081
227,1,2621.98,0.00500081
228,0,-2625.99,0.00500081
229,1,2657.51,0.00500081
230,0,-2846.98,0.00500081
231,1,2445.52,0.00500081
232,0,-3014.43,0.00500081
233,1,2572.37,0.00500081
234,0,-3623.36,0.00500081
235,1,2376.06,0.00500081
236,0,-3719.36,0.00500081
237,1,2880.66,0.00500081
238,0,-2635.67,0.00500081
239,1,1897.15,0.00500081
240,0,-3001.23,0.00500081
241,1,1573.68,0.00500081
242,1,966.971,0.00500081
243,0,-1987.18,0.00500081
244,0,164.291,0.00500081
245,1,2055.3,0.00500081
246,1,1143.91,0.00500081
247,0,-3529.54,0.00500081
248,0,-3.30416,0.00500081
249,1,1209.16,0.00500081
250,1,4050.66,0.00500081
251,0,-3425.06,0.00500081
252,0,-38.8813,0.00500081
253,1,1420.83,0.00500081
254,1,2875.89,0.00500081
255,0,-2604.06,0.00500081
256,0,842.343,0.00500081
257,1,1368.76,0.00500081
258,0,-3749.67,0.00500081
259,1,2130.69,0.00500081
260,1,609.291,0.00500081
261,0,-3736.98,0.00500081
262,0,879.921,0.00500081
263,1,3086.25,0.00500081
264,0,-3399.13,0.00500081
265,1,4157.64,0.00500081
266,0,-3076.26,0.00500081
267,1,3734.18,0.00500081
268,0,-2280.82,0.00500081
269,0,-1285.82,0.00500081
270,1,1870.95,0.00500081
271,1,1594,0.00500081
272,1,-1048.5,0.00500081
273,1,1608.43,0.00500081
274,0,-2876.41,0.00500081
275,0,-902.495,0.00500081
276,0,-1091.6,0.00500081
277,0,-1966.4,0.00500081
278,1,1898.64,0.00500081
279,1,893.109,0.00500081
280,0,-3407.19,0.00500081
281,0,-581.576,0.00500081
282,1,3051.68,0.00500081
283,1,1223.34,0.00500081
284,0,-3252.43,0.00500081
285,0,558.218,0.00500081
286,1,1976.29,0.00500081
287,1,1233.21,0.00500081
288,0,-3254.69,0.00500081
289,0,563.769,0.00500081
290,1,3413.16,0.00500081
291,1,1401.62,0.00500081
